Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
130720405;0720405;13;072;Groß Wokern
130720415;0720415;13;072;Groß Wüstenfelde
130720425;0720425;13;072;Gülzow-Prüzen
130720430;0720430;13;072;Güstrow, Barlachstadt
130720445;0720445;13;072;Gutow
130720455;0720455;13;072;Hohen Demzin
130720465;0720465;13;072;Hohen Sprenz
130720475;0720475;13;072;Hohenfelde
130720485;0720485;13;072;Hoppenrade
130720495;0720495;13;072;Jördenstorf
130720505;0720505;13;072;Jürgenshagen
130720515;0720515;13;072;Kassow
130720535;0720535;13;072;Klein Belitz
130720555;0720555;13;072;Klein Upahl
130720565;0720565;13;072;Krakow am See, Stadt
130720575;0720575;13;072;Kritzmow
130720580;0720580;13;072;Kröpelin, Stadt
130720595;0720595;13;072;Kuchelmiß
130720600;0720600;13;072;Kühlungsborn, Ostseebad, Stadt
130720615;0720615;13;072;Kuhs
130720625;0720625;13;072;Laage, Stadt
130720635;0720635;13;072;Lalendorf
130720645;0720645;13;072;Lambrechtshagen
130720665;0720665;13;072;Lelkendorf
130720675;0720675;13;072;Lohmen
130720695;0720695;13;072;Lüssow
130720715;0720715;13;072;Mistorf
130720725;0720725;13;072;Mönchhagen
130720735;0720735;13;072;Mühl Rosin
130720740;0720740;13;072;Neubukow, Schliemannstadt
130720755;0720755;13;072;Nienhagen, Ostseebad
130720765;0720765;13;072;Nustrow
130720775;0720775;13;072;Papendorf
130720785;0720785;13;072;Penzin
130720795;0720795;13;072;Plaaz
130720805;0720805;13;072;Pölchow
130720815;0720815;13;072;Poppendorf
130720825;0720825;13;072;Prebberede
130720835;0720835;13;072;Reddelich
130720845;0720845;13;072;Reimershagen
130720855;0720855;13;072;Rerik, Ostseebad, Stadt
130720865;0720865;13;072;Retschow
130720875;0720875;13;072;Roggentin
130720885;0720885;13;072;Rövershagen
130720895;0720895;13;072;Rühn
130720905;0720905;13;072;Rukieten
130720910;0720910;13;072;Sanitz
130720925;0720925;13;072;Sarmstorf
130720930;0720930;13;072;Satow
130720945;0720945;13;072;Schorssow
130720955;0720955;13;072;Schwaan, Stadt
130720965;0720965;13;072;Schwasdorf
130720975;0720975;13;072;Selpin
130720985;0720985;13;072;Stäbelow
130720995;0720995;13;072;Steffenshagen
130721015;0721015;13;072;Steinhagen
130721025;0721025;13;072;Stubbendorf
130721035;0721035;13;072;Sukow-Levitzow
130721045;0721045;13;072;Tarnow
130721055;0721055;13;072;Tessin, Blumenstadt
130721060;0721060;13;072;Teterow, Bergringstadt
130721075;0721075;13;072;Thelkow
130721085;0721085;13;072;Thulendorf
130721095;0721095;13;072;Thürkow
130721105;0721105;13;072;Vorbeck
130721115;0721115;13;072;Walkendorf
130721125;0721125;13;072;Wardow
130721135;0721135;13;072;Warnkenhagen
130721145;0721145;13;072;Warnow
130721165;0721165;13;072;Wiendorf
130721175;0721175;13;072;Wittenbeck
130721185;0721185;13;072;Zarnewanz
130721195;0721195;13;072;Zehna
130721205;0721205;13;072;Zepelin
130721215;0721215;13;072;Ziesendorf
130730015;0730015;13;073;Ahrenshagen-Daskow
130730025;0730025;13;073;Ahrenshoop, Ostseebad
130730035;0730035;13;073;Altefähr
130730045;0730045;13;073;Altenkirchen
130730055;0730055;13;073;Altenpleen
130730065;0730065;13;073;Baabe, Ostseebad
130730075;0730075;13;073;Bad Sülze, Stadt
130730095;0730095;13;073;Barth, Stadt
130730105;0730105;13;073;Bergen auf Rügen, Stadt
130730110;0730110;13;073;Binz, Ostseebad
130730125;0730125;13;073;Born a. Darß, Seebad
130730135;0730135;13;073;Breege
130730145;0730145;13;073;Buschvitz
130730155;0730155;13;073;Dettmannsdorf
130730165;0730165;13;073;Deyelsdorf
130730175;0730175;13;073;Dierhagen, Ostseebad
130730185;0730185;13;073;Divitz-Spoldershagen
130730195;0730195;13;073;Dranske
130730205;0730205;13;073;Drechow
130730215;0730215;13;073;Dreschvitz
130730225;0730225;13;073;Eixen
130730235;0730235;13;073;Elmenhorst
130730245;0730245;13;073;Franzburg, Stadt
130730255;0730255;13;073;Fuhlendorf
130730275;0730275;13;073;Garz/Rügen, Stadt
130730285;0730285;13;073;Gingst
130730295;0730295;13;073;Glewitz
130730305;0730305;13;073;Glowe, Ostseebad
130730315;0730315;13;073;Göhren, Ostseebad
130730325;0730325;13;073;Grammendorf
130730335;0730335;13;073;Gransebieth
130730345;0730345;13;073;Gremersdorf-Buchholz
130730350;0730350;13;073;Grimmen, Stadt
130730365;0730365;13;073;Groß Kordshagen
130730375;0730375;13;073;Groß Mohrdorf
130730385;0730385;13;073;Gustow
130730395;0730395;13;073;Hugoldsdorf
130730405;0730405;13;073;Insel Hiddensee, Seebad
130730415;0730415;13;073;Jakobsdorf
130730425;0730425;13;073;Karnin
130730435;0730435;13;073;Kenz-Küstrow
130730445;0730445;13;073;Klausdorf
130730455;0730455;13;073;Kluis
130730465;0730465;13;073;Kramerhof
130730485;0730485;13;073;Lancken-Granitz
130730495;0730495;13;073;Lietzow
130730505;0730505;13;073;Lindholz
130730515;0730515;13;073;Löbnitz
130730525;0730525;13;073;Lohme
130730535;0730535;13;073;Lüdershagen
130730545;0730545;13;073;Lüssow
130730550;0730550;13;073;Marlow, Stadt
130730575;0730575;13;073;Millienhagen-Oebelitz
130730595;0730595;13;073;Neuenkirchen
130730605;0730605;13;073;Niepars
130730615;0730615;13;073;Pantelitz
130730625;0730625;13;073;Papenhagen
130730635;0730635;13;073;Parchtitz
130730645;0730645;13;073;Patzig
130730655;0730655;13;073;Poseritz
130730665;0730665;13;073;Preetz
130730675;0730675;13;073;Prerow, Ostseebad
130730685;0730685;13;073;Prohn
130730695;0730695;13;073;Pruchten
130730700;0730700;13;073;Putbus, Stadt
130730715;0730715;13;073;Putgarten
130730725;0730725;13;073;Ralswiek
130730735;0730735;13;073;Rambin
130730745;0730745;13;073;Rappin
130730755;0730755;13;073;Ribnitz-Damgarten, Bernsteinstadt
130730765;0730765;13;073;Richtenberg, Stadt
130730775;0730775;13;073;Saal
130730785;0730785;13;073;Sagard
130730795;0730795;13;073;Samtens
130730800;0730800;13;073;Sassnitz, Stadt
130730815;0730815;13;073;Schaprode
130730825;0730825;13;073;Schlemmin
130730835;0730835;13;073;Sehlen
130730845;0730845;13;073;Sellin, Ostseebad
130730855;0730855;13;073;Semlow
130730865;0730865;13;073;Splietsdorf
130730875;0730875;13;073;Steinhagen
130730880;0730880;13;073;Stralsund, Hansestadt
130730890;0730890;13;073;Süderholz
130730905;0730905;13;073;Sundhagen
130730925;0730925;13;073;Trent
130730935;0730935;13;073;Tribsees, Stadt
130730945;0730945;13;073;Trinwillershagen
130730955;0730955;13;073;Ummanz
130730965;0730965;13;073;Velgast
130730975;0730975;13;073;Weitenhagen
130730985;0730985;13;073;Wendisch Baggendorf
130730995;0730995;13;073;Wendorf
130731005;0731005;13;073;Wieck a. Darß
130731015;0731015;13;073;Wiek
130731025;0731025;13;073;Wittenhagen
130731035;0731035;13;073;Wustrow, Ostseebad
130731045;0731045;13;073;Zarrendorf
130731050;0731050;13;073;Zingst, Ostseeheilbad
130731065;0731065;13;073;Zirkow
130731075;0731075;13;073;Mönchgut, Ostseebad
130740015;0740015;13;074;Alt Meteln
130740025;0740025;13;074;Bad Kleinen
130740035;0740035;13;074;Barnekow
130740045;0740045;13;074;Benz
130740055;0740055;13;074;Bernstorf
130740065;0740065;13;074;Bibow
130740075;0740075;13;074;Blowatz
130740085;0740085;13;074;Bobitz
130740095;0740095;13;074;Boiensdorf
130740105;0740105;13;074;Boltenhagen, Ostseebad
130740125;0740125;13;074;Brüsewitz
130740135;0740135;13;074;Carlow
130740145;0740145;13;074;Cramonshagen
130740155;0740155;13;074;Dalberg-Wendelstorf
130740165;0740165;13;074;Damshagen
130740175;0740175;13;074;Dassow, Stadt
130740185;0740185;13;074;Dechow
130740195;0740195;13;074;Dorf Mecklenburg
130740205;0740205;13;074;Dragun
130740215;0740215;13;074;Gadebusch, Stadt
130740225;0740225;13;074;Gägelow
130740235;0740235;13;074;Glasin
130740245;0740245;13;074;Gottesgabe
130740255;0740255;13;074;Grambow
130740260;0740260;13;074;Grevesmühlen, Stadt
130740275;0740275;13;074;Grieben
130740285;0740285;13;074;Groß Molzahn
130740305;0740305;13;074;Groß Stieten
130740315;0740315;13;074;Hohen Viecheln
130740325;0740325;13;074;Hohenkirchen
130740335;0740335;13;074;Holdorf
130740345;0740345;13;074;Hornstorf
130740350;0740350;13;074;Insel Poel, Ostseebad
130740365;0740365;13;074;Jesendorf
130740375;0740375;13;074;Kalkhorst
130740385;0740385;13;074;Klein Trebbow
130740395;0740395;13;074;Klütz, Stadt
130740405;0740405;13;074;Kneese
130740425;0740425;13;074;Königsfeld
130740435;0740435;13;074;Krembz
130740445;0740445;13;074;Krusenhagen
130740465;0740465;13;074;Lübberstorf
130740475;0740475;13;074;Lübow
130740485;0740485;13;074;Lübstorf
130740495;0740495;13;074;Lüdersdorf
130740505;0740505;13;074;Lützow
130740525;0740525;13;074;Menzendorf
130740535;0740535;13;074;Metelsdorf
130740545;0740545;13;074;Mühlen Eichsen
130740565;0740565;13;074;Neuburg
130740575;0740575;13;074;Neukloster, Stadt
130740605;0740605;13;074;Passee
130740615;0740615;13;074;Perlin
130740625;0740625;13;074;Pingelshagen
130740645;0740645;13;074;Pokrent
130740655;0740655;13;074;Rehna, Stadt
130740665;0740665;13;074;Rieps
130740675;0740675;13;074;Roduchelstorf
130740685;0740685;13;074;Roggendorf
130740695;0740695;13;074;Roggenstorf
130740705;0740705;13;074;Rögnitz
130740715;0740715;13;074;Rüting
130740725;0740725;13;074;Schildetal
130740735;0740735;13;074;Schlagsdorf
130740745;0740745;13;074;Schönberg, Stadt
130740755;0740755;13;074;Seehof
130740765;0740765;13;074;Selmsdorf
130740775;0740775;13;074;Testorf-Steinfort
130740785;0740785;13;074;Thandorf
130740795;0740795;13;074;Upahl
130740805;0740805;13;074;Utecht
130740815;0740815;13;074;Veelböken
130740825;0740825;13;074;Ventschow
130740845;0740845;13;074;Warin, Stadt
130740855;0740855;13;074;Warnow
130740870;0740870;13;074;Wismar, Hansestadt
130740885;0740885;13;074;Zickhusen
130740895;0740895;13;074;Zierow
130740905;0740905;13;074;Zurow
130740915;0740915;13;074;Züsow
130740925;0740925;13;074;Wedendorfersee
130740935;0740935;13;074;Stepenitztal
130740945;0740945;13;074;Siemz-Niendorf
130750015;0750015;13;075;Ahlbeck
130750025;0750025;13;075;Alt Tellin
130750035;0750035;13;075;Altwarp, Fischerdorf
130750045;0750045;13;075;Altwigshagen
130750050;0750050;13;075;Anklam, Hansestadt
130750065;0750065;13;075;Bandelin
130750075;0750075;13;075;Bargischow
130750085;0750085;13;075;Behrenhoff
130750095;0750095;13;075;Bentzin
