"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06431002";"60";"2441";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"65";"1746";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"70";"1183";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"75";"98";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"50";"3480";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"55";"1973";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"60";"1465";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"65";"218";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"55";"32";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"60";"31";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"65";"25";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"70";"16";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"50";"32";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"55";"30";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"60";"18";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431003";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"55";"124";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"60";"43";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"65";"51";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"70";"101";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"50";"59";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"55";"50";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"60";"104";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431004";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"55";"940";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"60";"490";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"65";"220";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"70";"97";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"50";"639";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"55";"245";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"60";"146";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431005";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"55";"1178";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"60";"379";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"65";"118";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"70";"18";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"75";"2";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"50";"756";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"55";"234";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"60";"43";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"65";"3";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431006";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"55";"441";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"60";"207";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"65";"179";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"70";"201";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"75";"43";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"50";"236";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"55";"183";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"60";"190";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"65";"88";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431007";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"55";"0";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"50";"0";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431008";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"55";"0";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
