"gemeinde_kennziffer";"name_stadt_gemeinde";"geoschluessel_stellen";"metrik";"l_untergrenze";"exponierte";"l_zentral";"bundesland_code";"quelle";"kartierungsumfang";"datenquelle";"gemeinde_bezeichnung";"gemeinde_kennzeichnung";"bevoelkerung";"flaeche"
"06435014";"Hanau";"6";"lnight";"55";"11191";"57";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lnight";"60";"3973";"62";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lnight";"65";"236";"67";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lnight";"70";"18";"72";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06611000";"Kassel";"6";"lden";"55";"29593";"57";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lden";"60";"28067";"62";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lden";"65";"19859";"67";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lden";"70";"14788";"72";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lden";"75";"5304";"77";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lnight";"50";"29619";"52";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lnight";"55";"22098";"57";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lnight";"60";"15455";"62";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lnight";"65";"5944";"67";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06611000";"Kassel";"6";"lnight";"70";"717";"72";"06";"Straße";"all";"Bundesland";"Kassel, documenta-Stadt";"Kreisfreie Stadt";"197230";"10679"
"06431001";"Abtsteinach";"6";"lden";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lden";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lden";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lden";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lnight";"50";"0";"52";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lnight";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lnight";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431001";"Abtsteinach";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Abtsteinach";"Kreisangehörige Gemeinde";"2405";"1102"
"06431002";"Bensheim";"6";"lden";"55";"4815";"57";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lden";"60";"2441";"62";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lden";"65";"1746";"67";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lden";"70";"1183";"72";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lden";"75";"98";"77";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lnight";"50";"3480";"52";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lnight";"55";"1973";"57";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lnight";"60";"1465";"62";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lnight";"65";"218";"67";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431002";"Bensheim";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Bensheim, Stadt";"Stadt";"41124";"5783"
"06431003";"Biblis";"6";"lden";"55";"32";"57";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lden";"60";"31";"62";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lden";"65";"25";"67";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lden";"70";"16";"72";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lnight";"50";"32";"52";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lnight";"55";"30";"57";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lnight";"60";"18";"62";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
